product_id,product_name,total_orders,reorder_count,reorder_rate,score
24852,Banana,321,275,0.8566978193146417,275.0
13176,Bag of Organic Bananas,236,204,0.864406779661017,204.0
21137,Organic Strawberries,163,127,0.7791411042944786,127.00000000000001
21903,Organic Baby Spinach,137,114,0.8321167883211679,114.0
47209,Organic Hass Avocado,129,105,0.813953488372093,105.0
47766,Organic Avocado,108,81,0.75,81.0
16797,Strawberries,95,64,0.6736842105263158,64.0
26209,Limes,77,63,0.8181818181818182,63.00000000000001
27845,Organic Whole Milk,70,61,0.8714285714285714,61.0
27966,Organic Raspberries,87,61,0.7011494252873564,61.0
47626,Large Lemon,91,54,0.5934065934065934,54.0
24964,Organic Garlic,69,49,0.7101449275362319,49.0
22935,Organic Yellow Onion,72,49,0.6805555555555556,49.0
28204,Organic Fuji Apple,65,47,0.7230769230769231,47.0
49235,Organic Half & Half,53,45,0.8490566037735849,45.0
45066,Honeycrisp Apple,62,42,0.6774193548387096,42.0
49683,Cucumber Kirby,54,41,0.7592592592592593,41.0
5876,Organic Lemon,55,40,0.7272727272727273,40.0
8277,Apple Honeycrisp Organic,53,39,0.7358490566037735,39.0
39275,Organic Blueberries,59,37,0.6271186440677966,37.0
30489,Original Hummus,53,37,0.6981132075471698,37.0
40706,Organic Grape Tomatoes,51,37,0.7254901960784313,37.0
37646,Organic Gala Apples,42,37,0.8809523809523809,37.0
45007,Organic Zucchini,52,36,0.6923076923076923,36.0
26604,Organic Blackberries,47,36,0.7659574468085106,36.0
30391,Organic Cucumber,44,34,0.7727272727272727,34.0
19660,Spring Water,40,34,0.85,34.0
44632,Sparkling Water Grapefruit,39,33,0.8461538461538461,33.0
27086,Half & Half,40,33,0.825,33.0
42265,Organic Baby Carrots,45,32,0.7111111111111111,32.0
39877,Organic Granny Smith Apple,42,32,0.7619047619047619,32.0
19057,Organic Large Extra Fancy Fuji Apple,48,32,0.6666666666666666,32.0
44359,Organic Small Bunch Celery,43,31,0.7209302325581395,30.999999999999996
17794,Carrots,47,31,0.6595744680851063,30.999999999999996
43352,Raspberries,45,30,0.6666666666666666,30.0
41950,Organic Tomato Cluster,40,29,0.725,29.0
21616,Organic Baby Arugula,42,29,0.6904761904761905,29.0
12341,Hass Avocados,30,28,0.9333333333333333,28.0
31717,Organic Cilantro,45,28,0.6222222222222222,28.0
22035,Organic Whole String Cheese,34,27,0.7941176470588235,27.0
24838,Unsweetened Almondmilk,35,27,0.7714285714285715,27.0
8518,Organic Red Onion,37,26,0.7027027027027027,26.0
4920,Seedless Red Grapes,43,26,0.6046511627906976,26.0
21938,Green Bell Pepper,39,26,0.6666666666666666,26.0
9076,Blueberries,38,25,0.6578947368421053,25.0
43961,Organic Peeled Whole Baby Carrots,32,25,0.78125,25.0
24184,Red Peppers,37,25,0.6756756756756757,25.0
34126,Organic Italian Parsley Bunch,33,24,0.7272727272727273,24.0
35221,Lime Sparkling Water,35,24,0.6857142857142857,24.0
9387,Granny Smith Apples,31,24,0.7741935483870968,24.0
35951,Organic Unsweetened Almond Milk,31,24,0.7741935483870968,24.0
27104,Fresh Cauliflower,42,23,0.5476190476190477,23.000000000000004
22825,Organic D'Anjou Pears,29,23,0.7931034482758621,23.0
5785,Organic Reduced Fat 2% Milk,29,23,0.7931034482758621,23.0
28985,Michigan Organic Kale,40,23,0.575,23.0
4605,Yellow Onions,43,23,0.5348837209302325,22.999999999999996
29487,Roma Tomato,30,22,0.7333333333333333,22.0
5450,Small Hass Avocado,33,22,0.6666666666666666,22.0
48679,Organic Garnet Sweet Potato (Yam),28,22,0.7857142857142857,22.0
46979,Asparagus,38,21,0.5526315789473685,21.000000000000004
33731,Grated Parmesan,36,21,0.5833333333333334,21.0
34969,Red Vine Tomato,36,21,0.5833333333333334,21.0
